date,equity,cash,position,close,ATR,DC_upper,DC_lower,DC_exit_lower,stock,code
2024-02-28,5551.36,5551.36,0,20.55,0.9703,22.05,16.92,17.58,ST人福,600079
2024-02-29,5551.36,5551.36,0,21.07,0.9618,22.05,16.92,19.47,ST人福,600079
2024-03-01,5551.36,5551.36,0,20.93,0.9362,22.05,16.92,19.81,ST人福,600079
2024-03-04,5551.36,5551.36,0,20.92,0.9294,22.05,16.92,19.81,ST人福,600079
2024-03-05,5551.36,5551.36,0,20.44,0.9155,22.05,16.92,19.81,ST人福,600079
2024-03-06,5551.36,5551.36,0,19.71,0.9167,22.05,16.92,19.81,ST人福,600079
2024-03-07,5551.36,5551.36,0,19.01,0.9178,22.05,16.92,19.58,ST人福,600079
2024-03-08,5551.36,5551.36,0,19.25,0.895,22.05,16.92,18.8,ST人福,600079
2024-03-11,5551.36,5551.36,0,19.63,0.8852,22.05,16.92,18.8,ST人福,600079
2024-03-12,5551.36,5551.36,0,19.82,0.8709,22.05,16.92,18.8,ST人福,600079
2024-03-13,5551.36,5551.36,0,19.07,0.8804,22.05,17.58,18.8,ST人福,600079
2024-03-14,5551.36,5551.36,0,18.89,0.8809,22.05,18.78,18.78,ST人福,600079
2024-03-15,5551.36,5551.36,0,18.94,0.8628,22.05,18.78,18.78,ST人福,600079
2024-03-18,5551.36,5551.36,0,19.33,0.8452,21.94,18.59,18.59,ST人福,600079
2024-03-19,5551.36,5551.36,0,19.29,0.8274,21.94,18.59,18.59,ST人福,600079
2024-03-20,5551.36,5551.36,0,19.23,0.8026,21.94,18.59,18.59,ST人福,600079
2024-03-21,5551.36,5551.36,0,19.36,0.7909,21.94,18.59,18.59,ST人福,600079
2024-03-22,5551.36,5551.36,0,18.92,0.7829,21.94,18.59,18.59,ST人福,600079
2024-03-25,5551.36,5551.36,0,18.69,0.7687,21.94,18.59,18.59,ST人福,600079
2024-03-26,5551.36,5551.36,0,18.44,0.7553,21.94,18.59,18.59,ST人福,600079
2024-03-27,5551.36,5551.36,0,18.52,0.7425,21.94,18.32,18.32,ST人福,600079
2024-03-28,5551.36,5551.36,0,18.42,0.7269,21.32,18.25,18.25,ST人福,600079
2024-03-29,5551.36,5551.36,0,18.48,0.7351,21.32,18.25,18.25,ST人福,600079
