date,symbol,name,open,close,high,low,volume
2020-01-06,00719,新华制药H,3.93,3.97,4.0,3.92,634000.0
2020-01-07,00719,新华制药H,3.97,3.95,4.0,3.94,115800.0
2020-01-08,00719,新华制药H,3.91,3.88,3.91,3.86,104000.0
2020-01-09,00719,新华制药H,4.0,3.9,4.0,3.88,128000.0
2020-01-10,00719,新华制药H,3.87,3.92,3.92,3.87,236000.0
2020-01-13,00719,新华制药H,3.94,3.94,3.96,3.89,228000.0
2020-01-14,00719,新华制药H,3.95,3.95,3.96,3.91,92000.0
2020-01-15,00719,新华制药H,3.9,3.93,3.95,3.88,44200.0
2020-01-16,00719,新华制药H,3.91,3.9,3.93,3.88,216200.0
2020-01-17,00719,新华制药H,3.9,3.97,4.02,3.9,1271400.0
2020-01-20,00719,新华制药H,4.06,4.12,4.17,4.04,3202400.0
2020-01-21,00719,新华制药H,4.17,4.25,4.3,4.17,3410800.0
2020-01-22,00719,新华制药H,4.29,4.2,4.29,4.07,407200.0
2020-01-23,00719,新华制药H,4.2,3.93,4.2,3.89,366600.0
2020-01-24,00719,新华制药H,3.94,4.04,4.04,3.92,66000.0
2020-01-29,00719,新华制药H,4.04,5.17,5.39,4.04,7566200.0
2020-01-30,00719,新华制药H,5.0,5.05,5.15,4.96,2509000.0
2020-01-31,00719,新华制药H,5.05,5.0,5.15,4.76,1162200.0
2020-02-03,00719,新华制药H,4.9,4.42,5.0,4.38,6624600.0
2020-02-04,00719,新华制药H,4.42,4.24,4.62,4.22,5510000.0
2020-02-05,00719,新华制药H,4.47,4.27,4.5,4.16,3801400.0
2020-02-06,00719,新华制药H,4.3,4.4,4.47,4.26,11590600.0
2020-02-07,00719,新华制药H,4.4,4.25,4.46,4.24,5994000.0
2020-02-10,00719,新华制药H,4.28,4.17,4.28,4.12,2258000.0
2020-02-11,00719,新华制药H,4.23,4.28,4.28,4.17,1293400.0
2020-02-12,00719,新华制药H,4.26,4.23,4.31,4.18,1610800.0
2020-02-13,00719,新华制药H,4.2,4.14,4.25,4.12,1146000.0
2020-02-14,00719,新华制药H,4.2,4.26,4.28,4.18,1154000.0
2020-02-17,00719,新华制药H,4.26,4.37,4.38,4.26,1278200.0
